Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.192.168-8.8.8.8-0-0-0,192.168.192.168,0,8.8.8.8,0,0,08/12/2025 12:31:31 PM,-64584,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-46.45113340765514,-32292.0,198050.70991541535,107751.0,-172335.0,-172335.0,-172335.0,0.0,-172335.0,-172335.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-49232-443-6,192.168.192.168,49232,104.26.12.245,443,6,08/12/2025 12:31:47 PM,104,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,19230.76923076923,104.0,0.0,104.0,104.0,104.0,104.0,0.0,104.0,104.0,0,0,0,0,0,0,0,0,0,72,0,19230.76923076923,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-49232-443-6,192.168.192.168,49232,104.26.12.245,443,6,08/12/2025 12:31:47 PM,47,2,0,2839.0,0.0,2839.0,0.0,1419.5,2007.4761517886084,0,0,0,0,6.040425531914894E7,42553.19148936171,47.0,0.0,47.0,47.0,47.0,47.0,0.0,47.0,47.0,0,0,0,0,0,1,0,0,0,64,0,42553.19148936171,0.0,0.0,2839.0,1892.6666666666665,1639.0974142293476,2686640.3333333335,0,0,0,1,2,0,0,0,0.0,2839.0,1419.5,0.0,0,0,0,0,0,0,0,0,0,0,16,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-49232-443-6,192.168.192.168,49232,104.26.12.245,443,6,08/12/2025 12:31:47 PM,273,3,0,191.0,0.0,96.0,46.0,63.66666666666667,28.04163571073081,0,0,0,0,699633.6996336996,10989.010989010989,136.5,123.74368670764582,224.0,49.0,273.0,136.5,123.74368670764582,224.0,49.0,0,0,0,0,0,1,0,0,0,96,0,10989.010989010989,0.0,46.0,96.0,59.25,24.540782383616055,602.25,0,0,0,3,3,0,0,0,0.0,79.0,63.666666666666664,0.0,0,0,0,0,0,0,0,0,0,0,547,0,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-49232-443-6,192.168.192.168,49232,104.26.12.245,443,6,08/12/2025 12:31:47 PM,305,2,0,591.0,0.0,560.0,31.0,295.5,374.05948724768365,0,0,0,0,1937704.918032787,6557.377049180328,305.0,0.0,305.0,305.0,305.0,305.0,0.0,305.0,305.0,0,0,0,0,0,1,0,0,0,64,0,6557.377049180328,0.0,31.0,560.0,383.66666666666663,305.41829240131204,93280.33333333334,0,0,0,2,2,0,0,0,0.0,575.5,295.5,0.0,0,0,0,0,0,0,0,0,0,0,16,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-49232-443-6,192.168.192.168,49232,104.26.12.245,443,6,08/12/2025 12:31:47 PM,0,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.0,0.0,0.0,31.0,10.333333333333334,17.8978583448784,320.33333333333337,0,0,0,1,2,0,0,0,1.0,15.5,0.0,31.0,0,0,0,0,0,0,0,0,0,0,16,16,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-49232-443-6,192.168.192.168,49232,104.26.12.245,443,6,08/12/2025 12:31:47 PM,259,3,2,507.0,224.0,483.0,0.0,169.0,272.1966201112718,193.0,31.0,112.0,114.5512985522207,2822393.8223938225,19305.019305019305,64.75,80.48757668112515,166.0,0.0,259.0,129.5,51.61879502661797,166.0,93.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,96,64,11583.011583011583,7722.007722007722,0.0,483.0,202.33333333333334,227.91723644048218,51946.26666666666,0,0,0,4,5,0,0,0,0.0,242.8,169.0,112.0,0,0,0,731,4,2822393,0,0,0,0,16,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-8.8.8.8-0-0-0,192.168.192.168,0,8.8.8.8,0,0,08/12/2025 12:32:03 PM,-106505,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-28.167691657668655,-53252.5,143165.78866649672,47981.0,-154486.0,-154486.0,-154486.0,0.0,-154486.0,-154486.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-51060-443-6,192.168.192.168,51060,104.26.12.245,443,6,08/12/2025 12:32:10 PM,56,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,35714.28571428572,56.0,0.0,56.0,56.0,56.0,56.0,0.0,56.0,56.0,0,0,0,0,0,0,0,0,0,72,0,35714.28571428572,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-51060-443-6,192.168.192.168,51060,104.26.12.245,443,6,08/12/2025 12:32:10 PM,31,2,0,2840.0,0.0,2840.0,0.0,1420.0,2008.183258569795,0,0,0,0,9.161290322580644E7,64516.12903225806,31.0,0.0,31.0,31.0,31.0,31.0,0.0,31.0,31.0,0,0,0,0,0,1,0,0,0,64,0,64516.12903225806,0.0,0.0,2840.0,1893.3333333333335,1639.6747644985371,2688533.333333333,0,0,0,1,2,0,0,0,0.0,2840.0,1420.0,0.0,0,0,0,0,0,0,0,0,0,0,16,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
